Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,eigencentrality,indegree,outdegree,Degree
South Africa,South Africa,,5,0.306069,0.353017,1330.737694,3,0.037878,0.723943,34,6,40
Bhutan,Bhutan,,0,0,0,0,2,0.005553,0.117494,1,0,1
Sri Lanka,Sri Lanka,,5,0.28642,0.31092,0.0625,2,0.002267,0.038395,1,2,3
Cameroon,Cameroon,,7,0.195946,0.223686,104.083333,4,0.002019,0.013008,2,3,5
Colombia,Colombia,,5,0.304462,0.348276,0,0,0.001979,0.005994,1,4,5
Bosnia and Herzegovina,Bosnia and Herzegovina,,0,0,0,0,3,0.001979,0.005994,1,0,1
Guyana,Guyana,,5,0.28642,0.31092,0,4,0.00362,0.116188,1,2,3
Malta,Malta,,6,0.238683,0.268678,0.983333,3,0.004423,0.105403,10,2,12
Moldova,Moldova,,0,0,0,0,3,0.001979,0.005994,1,0,1
Luxembourg,Luxembourg,,1,1,1,0,3,0.002019,0.013008,2,1,3
Paraguay,Paraguay,,0,0,0,0,4,0.00811,0.190595,5,0,5
Peru,Peru,,5,0.303665,0.343966,0.166667,4,0.002064,0.016795,1,3,4
Dominican Republic,Dominican Republic,,5,0.306283,0.360256,0,0,0.001949,0,0,7,7
Cayman Islands,Cayman Islands,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Taiwan,Taiwan,,6,0.238776,0.269231,0,1,0.001949,0,0,2,2
Burkina Faso,Burkina Faso,,5,0.310992,0.359483,58.725119,5,0.002104,0.023808,2,5,7
Democratic Republic of the Congo,Democratic Republic of the Congo,,6,0.235772,0.257471,0,4,0.00376,0.126726,3,1,4
Costa Rica,Costa Rica,,5,0.303109,0.346011,0,0,0.001949,0,0,4,4
Turkey,Turkey,,5,0.310345,0.375641,0,4,0.001949,0,0,11,11
Venezuela,Venezuela,,5,0.300518,0.336063,0,4,0.003718,0.126859,3,2,5
Guatemala,Guatemala,,5,0.301299,0.3375,6.817857,4,0.00974,0.310608,11,2,13
Trinidad and Tobago,Trinidad and Tobago,,5,0.303896,0.344587,0,0,0.001949,0,0,3,3
El Salvador,El Salvador,,5,0.300771,0.333191,0,0,0.001949,0,0,1,1
Kenya,Kenya,,5,0.287129,0.31523,411.246008,2,0.012875,0.17812,9,3,12
Ethiopia,Ethiopia,,6,0.236735,0.263218,681.513095,2,0.026201,0.638225,23,3,26
Kosovo,Kosovo,,0,0,0,0,3,0.001979,0.005994,1,0,1
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,0,0,0,0,3,0.002064,0.016795,1,0,1
Cuba,Cuba,,5,0.301299,0.3375,279.959533,4,0.023593,0.493271,20,3,23
Reunion,Reunion,,0,0,0,0,0,0.00366,0.123202,2,0,2
Puerto Rico,Puerto Rico,,0,0,0,0,0,0.00362,0.116188,1,0,1
Hungary,Hungary,,5,0.303109,0.343162,0,3,0.001949,0,0,3,3
The Bahamas,The Bahamas,,5,0.303109,0.340313,0,0,0.001949,0,0,2,2
Barbados,Barbados,,6,0.238776,0.268519,0,3,0.001949,0,0,2,2
Denmark,Denmark,,5,0.2925,0.331054,0,3,0.001949,0,0,5,5
British Virgin Islands,British Virgin Islands,,6,0.238776,0.26567,0,3,0.001949,0,0,1,1
Uruguay,Uruguay,,6,0.240166,0.271983,0,3,0.001979,0.005994,1,2,3
Niger,Niger,,0,0,0,0,4,0.002717,0.02037,4,0,4
Zimbabwe,Zimbabwe,,1,1,1,14.183333,3,0.003871,0.145526,4,1,5
Angola,Angola,,0,0,0,0,3,0.002127,0.00293,1,0,1
Cabo Verde,Cabo Verde,,0,0,0,0,3,0.002414,0.028816,4,0,4
Djibouti,Djibouti,,7,0.193333,0.210037,0.222222,2,0.002017,0.004676,1,1,2
Liberia,Liberia,,7,0.193333,0.210037,0.285714,2,0.00205,0.003524,1,1,2
Central African Republic,Central African Republic,,0,0,0,0,3,0.001979,0.005994,1,0,1
Chad,Chad,,0,0,0,0,4,0.002535,0.003097,1,0,1
Cote d'Ivoire,Cote d'Ivoire,,0,0,0,0,4,0.002019,0.013008,2,0,2
Czechia,Czechia,,6,0.246316,0.280627,0,4,0.001949,0,0,2,2
Tanzania,Tanzania,,6,0.238193,0.270402,19.27619,3,0.010152,0.238083,8,3,11
Mauritius,Mauritius,,6,0.236253,0.2625,1.291667,3,0.005861,0.147297,4,2,6
Equatorial Guinea,Equatorial Guinea,,0,0,0,0,4,0.002057,0.011689,2,0,2
Eritrea,Eritrea,,0,0,0,0,2,0.002732,0.011951,2,0,2
Eswatini,Eswatini,,0,0,0,0,0,0.00365,0.122183,2,0,2
Somalia,Somalia,,7,0.192751,0.209463,0,2,0.001949,0,0,1,1
